,nom_ecole,geometry,note_vetuste,note_vetuste_count,note_encadrement,note_encadrement_count,note_climat,note_climat_count,note_cantine,note_cantine_count,note_abord_securise,note_abord_securise_count,ecole
127,Ecole maternelle Béarnais (Le),POINT (1.426256268833871 43.61345367291908),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Béarnais (Le)
128,Ecole maternelle Benezet,POINT (1.427371572953566 43.58950038909314),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Benezet
129,Ecole maternelle Calas,POINT (1.444252657039228 43.58712511251688),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Calas
130,Ecole maternelle Courrège,POINT (1.47601297884932 43.58208034130397),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Courrège
131,Ecole maternelle Curie Marie & Pierre,POINT (1.444423985676003 43.6206800284588),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Curie Marie & Pierre
132,Ecole maternelle Daste André,POINT (1.439163318750185 43.58100226493435),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Daste André
133,Ecole maternelle Dupouy Gaston,POINT (1.380687367213229 43.58099091333876),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Dupouy Gaston
134,Ecole maternelle Fabre,POINT (1.443009123786491 43.5970463278645),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Fabre
135,Ecole maternelle Fontaine-Casselardit,POINT (1.409555641984736 43.604458995709),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Fontaine-Casselardit
136,Ecole maternelle Grand Selve,POINT (1.449949648098788 43.64910290846893),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Grand Selve
137,Ecole maternelle Guilhermy,POINT (1.372137799656685 43.56728843693798),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Guilhermy
138,Ecole maternelle Hyon Georges,POINT (1.409804325797318 43.579177575337596),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Hyon Georges
139,Ecole maternelle Jolimont,POINT (1.468591430726674 43.61390850098311),1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,Ecole maternelle Jolimont
140,Ecole maternelle Lagrange Léo,POINT (1.438394249532294 43.577197885258634),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Lagrange Léo
141,Ecole maternelle Lamartine,POINT (1.43425386352725 43.59619966908823),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Lamartine
